,instType,instId,uly,category,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,lever,tickSz,lotSz,minSz,ctType,alias,state
0,SWAP,BTC-USDT-SWAP,BTC-USDT,1,,,USDT,0.01,1,BTC,,,1636620075000,,125,0.1,1,1,linear,,live
1,SWAP,ETH-USDT-SWAP,ETH-USDT,1,,,USDT,0.1,1,ETH,,,1636620075000,,125,0.01,1,1,linear,,live
2,SWAP,DOT-USDT-SWAP,DOT-USDT,2,,,USDT,1,1,DOT,,,1611916828000,,75,0.001,1,1,linear,,live
3,SWAP,LTC-USDT-SWAP,LTC-USDT,1,,,USDT,1,1,LTC,,,1611916828000,,75,0.01,1,1,linear,,live
4,SWAP,DOGE-USDT-SWAP,DOGE-USDT,2,,,USDT,1000,1,DOGE,,,1611916828000,,75,0.000001,1,1,linear,,live
5,SWAP,FTM-USDT-SWAP,FTM-USDT,2,,,USDT,10,1,FTM,,,1616057943000,,75,0.00001,1,1,linear,,live
6,SWAP,ATOM-USDT-SWAP,ATOM-USDT,2,,,USDT,1,1,ATOM,,,1611916828000,,75,0.001,1,1,linear,,live
7,SWAP,NEAR-USDT-SWAP,NEAR-USDT,2,,,USDT,10,1,NEAR,,,1611916828000,,75,0.0001,1,1,linear,,live
8,SWAP,LUNA-USDT-SWAP,LUNA-USDT,2,,,USDT,0.1,1,LUNA,,,1616057943000,,75,0.001,1,1,linear,,live
9,SWAP,ADA-USDT-SWAP,ADA-USDT,2,,,USDT,100,1,ADA,,,1611916828000,,75,0.00001,1,1,linear,,live
10,SWAP,1INCH-USDT-SWAP,1INCH-USDT,2,,,USDT,1,1,1INCH,,,1611916828000,,75,0.0001,1,1,linear,,live
11,SWAP,AAVE-USDT-SWAP,AAVE-USDT,2,,,USDT,0.1,1,AAVE,,,1611916828000,,75,0.01,1,1,linear,,live
12,SWAP,AGLD-USDT-SWAP,AGLD-USDT,2,,,USDT,1,1,AGLD,,,1631008650000,,75,0.0001,1,1,linear,,live
13,SWAP,ALGO-USDT-SWAP,ALGO-USDT,2,,,USDT,10,1,ALGO,,,1611916828000,,75,0.0001,1,1,linear,,live
