,ts,open,high,low,close,vol
0,1642492800000,42061.4,42061.4,41630.0,41714.5,442987
1,1642489200000,42240.1,42278.3,41958.1,42060.0,223505
2,1642485600000,42099.0,42339.6,42098.9,42240.1,169336
3,1642482000000,42036.8,42193.4,41990.4,42101.9,102941
4,1642478400000,42047.9,42107.4,41865.9,42036.8,203880
5,1642474800000,42275.2,42297.2,41972.7,42047.9,154059
6,1642471200000,42259.1,42303.2,42150.0,42275.2,86565
7,1642467600000,42359.9,42443.0,42166.5,42259.1,146174
8,1642464000000,42201.4,42426.3,42137.4,42359.9,223739
9,1642460400000,42086.3,42260.0,42059.8,42201.4,147820
10,1642456800000,41732.4,42385.3,41534.5,42086.4,261268
11,1642453200000,42086.4,42141.6,41586.0,41732.5,303013
12,1642449600000,42237.2,42299.9,42014.2,42090.0,88086
13,1642446000000,42176.9,42318.5,42113.0,42232.8,116398
14,1642442400000,42119.9,42180.0,41850.0,42177.0,309539
15,1642438800000,42235.1,42255.3,41924.0,42119.7,329402
16,1642435200000,42481.2,42538.8,42121.4,42235.1,447883
17,1642431600000,42659.6,42689.9,42313.5,42481.2,297009
18,1642428000000,42657.6,42744.0,42575.4,42659.6,169663
19,1642424400000,42568.6,42681.1,42516.7,42657.7,142122
20,1642420800000,42672.7,42800.0,42432.9,42570.9,374139
21,1642417200000,42794.7,42842.9,42653.2,42672.7,123631
22,1642413600000,42850.2,42899.0,42627.4,42794.6,166259
23,1642410000000,42800.5,42910.0,42742.2,42852.6,135267
24,1642406400000,42659.8,42878.3,42580.1,42804.8,230994
25,1642402800000,42757.7,42973.0,42656.2,42659.9,173888
26,1642399200000,42663.4,42876.8,42653.4,42759.4,261207
27,1642395600000,42624.6,42699.0,42320.0,42659.4,424220
28,1642392000000,42657.5,42805.0,42606.8,42624.6,193266
29,1642388400000,42922.3,42981.2,42629.2,42655.7,261998
30,1642384800000,42899.9,42950.0,42793.9,42922.3,137220
31,1642381200000,42887.1,42935.7,42810.0,42899.9,140759
32,1642377600000,43069.0,43173.3,42867.8,42887.1,170167
33,1642374000000,43198.5,43277.3,43044.2,43069.0,125958
34,1642370400000,42952.0,43249.9,42945.5,43198.4,86465
35,1642366800000,43037.0,43093.5,42894.3,42952.0,50953
36,1642363200000,42836.2,43116.4,42744.8,43037.0,127320
37,1642359600000,43062.8,43080.8,42803.2,42836.2,145728
38,1642356000000,43076.2,43129.4,42952.6,43062.7,117280
39,1642352400000,43381.9,43434.4,43050.0,43076.2,135823
40,1642348800000,43227.0,43478.9,43182.4,43381.9,182809
41,1642345200000,43310.1,43372.8,43139.9,43223.9,156265
42,1642341600000,43150.7,43440.8,43040.8,43310.1,418498
43,1642338000000,43004.6,43215.1,42593.5,43151.2,625281
44,1642334400000,42975.0,43156.3,42972.9,43004.7,110646
45,1642330800000,42914.6,43058.0,42723.2,42975.4,260864
46,1642327200000,43081.0,43188.1,42888.0,42914.7,136610
47,1642323600000,43077.9,43145.0,43036.0,43080.9,85720
48,1642320000000,43200.7,43299.3,43065.9,43077.9,105566
49,1642316400000,43198.6,43254.4,43113.8,43200.7,113470
50,1642312800000,42962.6,43226.0,42923.5,43198.6,133358
51,1642309200000,43038.0,43120.4,42962.7,42962.7,91083
52,1642305600000,42990.0,43073.9,42880.0,43038.0,147722
53,1642302000000,42937.2,43051.9,42868.7,42990.0,133086
54,1642298400000,43005.0,43087.9,42840.2,42937.2,155252
55,1642294800000,43074.0,43147.0,42982.0,43005.0,116392
56,1642291200000,43083.9,43112.3,42991.9,43073.9,156205
57,1642287600000,43247.4,43369.0,43070.1,43079.5,125171
58,1642284000000,43304.0,43395.9,43134.6,43247.3,72294
59,1642280400000,43489.3,43521.8,43162.0,43303.9,153323
60,1642276800000,43518.0,43814.1,43479.4,43489.6,251777
61,1642273200000,43322.0,43550.0,43312.7,43517.9,80717
62,1642269600000,43374.4,43376.8,43236.6,43323.7,89450
63,1642266000000,43333.0,43576.9,43249.7,43376.0,211443
64,1642262400000,43412.4,43449.0,43223.8,43331.1,188748
65,1642258800000,43182.6,43419.5,43070.7,43412.6,326767
66,1642255200000,42910.0,43326.4,42750.0,43182.6,436944
67,1642251600000,42707.2,42965.1,42646.1,42910.0,237377
68,1642248000000,43011.7,43032.7,42560.0,42706.6,375988
69,1642244400000,43099.9,43105.9,42956.6,43011.8,111652
70,1642240800000,43066.7,43285.2,43015.8,43100.0,247946
71,1642237200000,42980.6,43094.9,42891.0,43066.7,107509
72,1642233600000,43098.9,43118.0,42951.1,42980.6,103187
73,1642230000000,43084.6,43099.0,42939.9,43099.0,62569
74,1642226400000,43001.3,43113.4,42890.0,43084.6,127269
75,1642222800000,42924.7,43067.3,42840.0,43001.4,84250
76,1642219200000,42949.0,42971.0,42713.8,42924.7,265319
77,1642215600000,43101.5,43137.1,42930.0,42946.1,176185
78,1642212000000,42984.5,43101.4,42927.5,43101.4,107237
79,1642208400000,43103.6,43162.5,42871.8,42984.5,125141
80,1642204800000,43063.0,43171.5,42912.0,43103.8,187133
81,1642201200000,43250.1,43274.1,43000.1,43063.1,153271
82,1642197600000,43289.9,43388.9,43170.7,43250.0,92525
83,1642194000000,43093.8,43455.0,43087.5,43289.9,129227
84,1642190400000,43082.1,43185.1,43000.9,43091.0,114511
85,1642186800000,43058.7,43430.0,43007.8,43081.3,313562
86,1642183200000,42914.0,43111.4,42777.0,43058.6,204375
87,1642179600000,43203.7,43266.1,42870.2,42914.0,223832
88,1642176000000,43102.6,43235.1,42860.0,43203.7,369855
89,1642172400000,42976.3,43350.0,42782.1,43109.9,742441
90,1642168800000,42165.8,43088.0,42131.0,42976.2,863906
91,1642165200000,42057.5,42316.5,42033.9,42165.8,310201
92,1642161600000,42013.1,42245.0,41750.0,42057.4,413824
93,1642158000000,42082.9,42086.8,41836.4,42012.4,562879
94,1642154400000,42551.0,42617.9,41920.0,42082.9,504835
95,1642150800000,42525.3,42693.0,42478.5,42551.1,229739
96,1642147200000,42647.9,42670.3,42368.4,42525.3,396265
97,1642143600000,42800.8,42876.6,42591.5,42646.0,213659
98,1642140000000,42880.0,42964.5,42761.6,42803.4,205621
